n,thresholdModel,thresholdClass,Accuracy,logloss
22,1,0.5,0.765957446808511,0.481615608669159
23,0.05,0.5,0.808510638297872,0.465871306852851
23,0.1,0.5,0.74468085106383,0.432576724108515
23,0.15,0.5,0.765957446808511,0.42726052196473
23,0.2,0.5,0.765957446808511,0.428439521891992
23,0.25,0.5,0.765957446808511,0.429645516835952
23,0.3,0.5,0.765957446808511,0.431509866312936
23,0.35,0.5,0.808510638297872,0.443204367879799
23,0.4,0.5,0.808510638297872,0.443204367879799
23,0.45,0.5,0.808510638297872,0.443204367879799
23,0.5,0.5,0.808510638297872,0.443204367879799
23,0.55,0.5,0.808510638297872,0.443204367879799
23,0.6,0.5,0.808510638297872,0.451463157119038
23,0.65,0.5,0.808510638297872,0.451463157119038
23,0.7,0.5,0.808510638297872,0.451463157119038
23,0.75,0.5,0.787234042553192,0.458862407150268
23,0.8,0.5,0.787234042553192,0.458862407150268
23,0.85,0.5,0.74468085106383,0.49211514882513
23,0.9,0.5,0.74468085106383,0.49211514882513
23,0.95,0.5,0.74468085106383,0.49211514882513
23,1,0.5,0.74468085106383,0.49211514882513
24,0.05,0.5,0.787234042553192,0.454406913936669
24,0.1,0.5,0.74468085106383,0.43481970888456
24,0.15,0.5,0.74468085106383,0.430758436810428
24,0.2,0.5,0.74468085106383,0.429967918680716
24,0.25,0.5,0.765957446808511,0.424748493678142
24,0.3,0.5,0.765957446808511,0.427430961278104
24,0.35,0.5,0.808510638297872,0.436603945335983
24,0.4,0.5,0.808510638297872,0.436603945335983
24,0.45,0.5,0.808510638297872,0.452250362497147
24,0.5,0.5,0.808510638297872,0.452250362497147
24,0.55,0.5,0.787234042553192,0.465498714540826
24,0.6,0.5,0.787234042553192,0.465498714540826
24,0.65,0.5,0.787234042553192,0.465498714540826
24,0.7,0.5,0.787234042553192,0.465498714540826
24,0.75,0.5,0.787234042553192,0.465498714540826
24,0.8,0.5,0.787234042553192,0.465498714540826
24,0.85,0.5,0.787234042553192,0.465498714540826
24,0.9,0.5,0.787234042553192,0.465498714540826
24,0.95,0.5,0.787234042553192,0.465498714540826
24,1,0.5,0.787234042553192,0.465498714540826
25,0.05,0.5,0.829787234042553,0.434743917237513
25,0.1,0.5,0.74468085106383,0.43337566527558
25,0.15,0.5,0.74468085106383,0.43337566527558
25,0.2,0.5,0.74468085106383,0.433858725689578
25,0.25,0.5,0.765957446808511,0.435490961452549
25,0.3,0.5,0.808510638297872,0.43715669498079
25,0.35,0.5,0.808510638297872,0.442548342723484
25,0.4,0.5,0.808510638297872,0.442548342723484
25,0.45,0.5,0.808510638297872,0.442548342723484
25,0.5,0.5,0.808510638297872,0.442548342723484
25,0.55,0.5,0.808510638297872,0.442548342723484
25,0.6,0.5,0.808510638297872,0.442548342723484
25,0.65,0.5,0.765957446808511,0.45800405002138
25,0.7,0.5,0.765957446808511,0.45800405002138
25,0.75,0.5,0.765957446808511,0.45800405002138
25,0.8,0.5,0.765957446808511,0.45800405002138
25,0.85,0.5,0.765957446808511,0.45800405002138
25,0.9,0.5,0.765957446808511,0.45800405002138
25,0.95,0.5,0.765957446808511,0.45800405002138
25,1,0.5,0.765957446808511,0.45800405002138
26,0.05,0.5,0.74468085106383,0.501051944793923
26,0.1,0.5,0.765957446808511,0.432066428186781
