nodes,nTree,accuracy
79,11,0.726708074534162
80,11,0.726708074534162
81,11,0.739130434782609
82,11,0.721074380165289
83,11,0.721074380165289
84,11,0.716942148760331
85,11,0.716942148760331
86,11,0.744329896907217
87,11,0.75
88,11,0.758264462809917
89,11,0.731808731808732
90,11,0.729166666666667
91,11,0.735537190082645
92,11,0.75
93,11,0.75
94,11,0.75
95,11,0.75
96,11,0.741735537190083
97,11,0.741735537190083
98,11,0.716981132075472
99,11,0.716981132075472
100,11,0.716981132075472
1,12,0.679089026915114
2,12,0.681159420289855
3,12,0.703319502074689
4,12,0.721991701244813
5,12,0.68801652892562
6,12,0.736514522821577
7,12,0.71900826446281
8,12,0.734020618556701
9,12,0.706611570247934
10,12,0.716942148760331
11,12,0.735537190082645
12,12,0.698544698544699
13,12,0.744282744282744
14,12,0.744813278008299
15,12,0.728215767634855
16,12,0.738589211618257
17,12,0.730290456431535
18,12,0.737060041407868
19,12,0.74896265560166
20,12,0.731404958677686
21,12,0.737060041407868
22,12,0.733887733887734
23,12,0.733887733887734
24,12,0.731808731808732
25,12,0.738493723849372
26,12,0.74012474012474
27,12,0.726141078838174
28,12,0.728778467908903
29,12,0.739583333333333
30,12,0.742203742203742
31,12,0.735416666666667
32,12,0.7125
33,12,0.735966735966736
34,12,0.72972972972973
35,12,0.72972972972973
36,12,0.735966735966736
37,12,0.74896265560166
38,12,0.746887966804979
39,12,0.738589211618257
40,12,0.734989648033126
41,12,0.722567287784679
42,12,0.743801652892562
43,12,0.734989648033126
44,12,0.759834368530021
45,12,0.715176715176715
46,12,0.731808731808732
47,12,0.723492723492724
48,12,0.739669421487603
49,12,0.738589211618257
50,12,0.75103734439834
51,12,0.75103734439834
52,12,0.721991701244813
53,12,0.728215767634855
54,12,0.730290456431535
55,12,0.738045738045738
56,12,0.754639175257732
57,12,0.749482401656315
58,12,0.745341614906832
59,12,0.743801652892562
60,12,0.738045738045738
61,12,0.744282744282744
62,12,0.742203742203742
63,12,0.756198347107438
64,12,0.756198347107438
65,12,0.725206611570248
66,12,0.725206611570248
67,12,0.747933884297521
68,12,0.753623188405797
69,12,0.735966735966736
70,12,0.714285714285714
